time	experiment	replicate	formate
0	bhbt	A	0.289956309
0	bhbt	B	0.309113212
0	bhbt	C	0.28877028
0	bhbt	D	0.297410485
0	bhbt	E	0.318139427
0	bhbt	F	0.762253642
4	bhbt	A	0.360295215
4	bhbt	B	0.379364645
4	bhbt	C	0.355851943
4	bhbt	D	0.340172356
4	bhbt	E	0.338285857
4	bhbt	F	0.3487474
8	bhbt	A	0.942205377
8	bhbt	B	1.066128199
8	bhbt	C	1.066128199
8	bhbt	D	1.049800259
8	bhbt	E	1.08630624
8	bhbt	F	1.132750598
12	bhbt	A	1.852007552
12	bhbt	B	1.818326082
12	bhbt	C	1.790372831
12	bhbt	D	1.762595366
12	bhbt	E	1.712702344
12	bhbt	F	1.787901987
16	bhbt	A	1.787803932
16	bhbt	B	1.74757838
16	bhbt	C	1.768264502
16	bhbt	D	1.812605824
16	bhbt	E	1.757819196
16	bhbt	F	1.811738629
20	bhbt	A	1.777680237
20	bhbt	B	1.722752394
20	bhbt	C	1.661878118
20	bhbt	D	1.742934101
20	bhbt	E	1.650746642
20	bhbt	F	1.703026283
