time	experiment	replicate	bh_live
0	bhbt	A	0.01092
0	bhbt	B	0.01139
0	bhbt	C	0.01096
0	bhbt	D	0.0132
0	bhbt	E	0.01158
0	bhbt	F	0.00962
4	bhbt	A	0.01338
4	bhbt	B	0.01308
4	bhbt	C	0.01232
4	bhbt	D	0.01328
4	bhbt	E	0.01562
4	bhbt	F	0.01314
8	bhbt	A	0.02795
8	bhbt	B	0.0213
8	bhbt	C	0.0365
8	bhbt	D	0.02025
8	bhbt	E	0.04325
8	bhbt	F	0.02765
12	bhbt	A	0.03415
12	bhbt	B	0.0263
12	bhbt	C	0.0243
12	bhbt	D	0.02695
12	bhbt	E	0.0725
12	bhbt	F	0.02525
16	bhbt	A	0.04125
16	bhbt	B	0.0491
16	bhbt	C	0.0343
16	bhbt	D	0.03285
16	bhbt	E	0.059
16	bhbt	F	0.0405
20	bhbt	A	0.0237
20	bhbt	B	0.031
20	bhbt	C	0.0243
20	bhbt	D	0.0266
20	bhbt	E	0.06935
20	bhbt	F	0.0303
24	bhbt	A	0.12045
24	bhbt	B	0.0408
24	bhbt	C	0.045
24	bhbt	D	0.04495
24	bhbt	E	0.04235
24	bhbt	F	0.0407
28	bhbt	A	0.0308
28	bhbt	B	0.07675
28	bhbt	C	0.05175
28	bhbt	D	0.0392
28	bhbt	E	0.0574
28	bhbt	F	0.0464
32	bhbt	A	0.02315
32	bhbt	B	0.0282
32	bhbt	C	0.0174
32	bhbt	D	0.0171
32	bhbt	E	0.02015
32	bhbt	F	0.0193
36	bhbt	A	0.04615
36	bhbt	B	0.0778
36	bhbt	C	0.0419
36	bhbt	D	0.0464
36	bhbt	E	0.04245
36	bhbt	F	0.0211
40	bhbt	A	0.0806
40	bhbt	B	0.31345
40	bhbt	C	0.0962
40	bhbt	D	0.0814
40	bhbt	E	0.0304
40	bhbt	F	0.0728
44	bhbt	A	0.07515
44	bhbt	B	0.07555
44	bhbt	C	0.051
44	bhbt	D	0.0821
44	bhbt	E	0.01815
44	bhbt	F	0.00935
48	bhbt	A	0.0512
48	bhbt	B	0.0356
48	bhbt	C	0.0262
48	bhbt	D	0.014
48	bhbt	E	0.01095
48	bhbt	F	0.0212
60	bhbt	A	0.0529
60	bhbt	B	0.03745
60	bhbt	C	0.03755
60	bhbt	D	0.02575
60	bhbt	E	0.0364
60	bhbt	F	0.0149
72	bhbt	A	0.06255
72	bhbt	B	0.032
72	bhbt	C	0.0338
72	bhbt	D	0.02425
72	bhbt	E	0.02325
72	bhbt	F	0.0098
96	bhbt	A	0.0202
96	bhbt	B	0.0183
96	bhbt	C	0.02225
96	bhbt	D	0.03085
96	bhbt	E	0.0183
96	bhbt	F	0.011
120	bhbt	A	0.02505
120	bhbt	B	0.0184
120	bhbt	C	0.0125
120	bhbt	D	0.01725
120	bhbt	E	0.0141
120	bhbt	F	0.0148
