time	experiment	replicate	trehalose
0	bhbt	A	0.569808007
0	bhbt	B	0.572162445
0	bhbt	C	0.567246915
0	bhbt	D	0.570750052
0	bhbt	E	0.571000817
0	bhbt	F	0.571274524
4	bhbt	A	0.568352897
4	bhbt	B	0.570181977
4	bhbt	C	0.580186776
4	bhbt	D	0.58345719
4	bhbt	E	0.573145263
4	bhbt	F	0.574285977
8	bhbt	A	0.550538111
8	bhbt	B	0.554571085
8	bhbt	C	0.554571085
8	bhbt	D	0.562385594
8	bhbt	E	0.558155473
8	bhbt	F	0.551819776
12	bhbt	A	0.535592938
12	bhbt	B	0.530496866
12	bhbt	C	0.53386746
12	bhbt	D	0.526619801
12	bhbt	E	0.531343465
12	bhbt	F	0.534086535
16	bhbt	A	0.530899357
16	bhbt	B	0.520214811
16	bhbt	C	0.533393184
16	bhbt	D	0.526309757
16	bhbt	E	0.530670141
16	bhbt	F	0.5201677
20	bhbt	A	0.513063951
20	bhbt	B	0.523108086
20	bhbt	C	0.518644946
20	bhbt	D	0.53164303
20	bhbt	E	0.529845935
20	bhbt	F	0.519793476
24	bhbt	A	0.517708858
24	bhbt	B	0.52055722
24	bhbt	C	0.514021799
24	bhbt	D	0.516151373
24	bhbt	E	0.515194497
24	bhbt	F	0.511411484
28	bhbt	A	0.515813697
28	bhbt	B	0.526218916
28	bhbt	C	0.523478127
28	bhbt	D	0.514733488
28	bhbt	E	0.507628809
28	bhbt	F	0.507349356
32	bhbt	A	0.504927948
32	bhbt	B	0.512092667
32	bhbt	C	0.500096542
32	bhbt	D	0.503560005
32	bhbt	E	0.503311607
32	bhbt	F	0.501350068
36	bhbt	A	0.499815525
36	bhbt	B	0.495602727
36	bhbt	C	0.494699849
36	bhbt	D	0.494699849
36	bhbt	E	0.492857925
36	bhbt	F	0.494297147
40	bhbt	A	0.490441799
40	bhbt	B	0.496260292
40	bhbt	C	0.497978333
40	bhbt	D	0.49753507
40	bhbt	E	0.492773125
40	bhbt	F	0.488848146
44	bhbt	A	0.486223001
44	bhbt	B	0.48832921
44	bhbt	C	0.49082891
44	bhbt	D	0.491764998
44	bhbt	E	0.486272267
44	bhbt	F	0.488785529
48	bhbt	A	0.482274995
48	bhbt	B	0.476802079
48	bhbt	C	0.481285162
48	bhbt	D	0.482915067
48	bhbt	E	0.479168221
48	bhbt	F	0.481498111
60	bhbt	A	0.479415806
60	bhbt	B	0.389346825
60	bhbt	C	0.418516479
60	bhbt	D	0.535929601
60	bhbt	E	0.425847286
60	bhbt	F	0.445233066
72	bhbt	A	0.457250776
72	bhbt	B	0.465562416
72	bhbt	C	0.467958738
72	bhbt	D	0.473573088
72	bhbt	E	0.479841102
72	bhbt	F	0.473138297
96	bhbt	A	0.417901659
96	bhbt	B	0.415709826
96	bhbt	C	0.415923199
96	bhbt	D	0.42334043
96	bhbt	E	0.424057766
96	bhbt	F	0.423951099
120	bhbt	A	0.428857054
120	bhbt	B	0.434321278
120	bhbt	C	0.431384341
120	bhbt	D	0.426530189
120	bhbt	E	0.430101943
120	bhbt	F	0.428270383
