time	experiment	replicate	butyrate
0	bhbtri	A	0.018011577
0	bhbtri	B	0.046364727
0	bhbtri	C	0.004654762
0	bhbtri	D	0.047966776
0	bhbtri	E	0.055725179
0	bhbtri	F	0.045673434
4	bhbtri	A	0.062453627
4	bhbtri	B	0.062397505
4	bhbtri	C	0.02181502
4	bhbtri	D	0.062006247
4	bhbtri	E	0.052234234
4	bhbtri	F	0.052812556
8	bhbtri	A	0.332516347
8	bhbtri	B	0.35079674
8	bhbtri	C	0.310423956
8	bhbtri	D	0.315136055
8	bhbtri	E	0.229396523
8	bhbtri	F	0.097100294
12	bhbtri	A	1.686161357
12	bhbtri	B	1.919368859
12	bhbtri	C	1.770997013
12	bhbtri	D	1.677084266
12	bhbtri	E	1.511902576
12	bhbtri	F	0.665752522
16	bhbtri	A	3.720525609
16	bhbtri	B	4.013635938
16	bhbtri	C	3.88934916
16	bhbtri	D	3.825017576
16	bhbtri	E	3.604468619
16	bhbtri	F	2.231653739
20	bhbtri	A	3.568271882
20	bhbtri	B	3.937714067
20	bhbtri	C	3.83198112
20	bhbtri	D	3.715929872
20	bhbtri	E	3.572909421
20	bhbtri	F	2.417078122
24	bhbtri	A	3.801202157
24	bhbtri	B	4.096862662
24	bhbtri	C	4.172322869
24	bhbtri	D	4.083584661
24	bhbtri	E	3.89574217
24	bhbtri	F	2.639212126
28	bhbtri	A	3.907519879
28	bhbtri	B	4.217038106
28	bhbtri	C	4.048410015
28	bhbtri	D	3.99883881
28	bhbtri	E	3.789214977
28	bhbtri	F	2.569293951
32	bhbtri	A	4.021670725
32	bhbtri	B	4.298303333
32	bhbtri	C	4.20432237
32	bhbtri	D	4.10972218
32	bhbtri	E	3.899095548
32	bhbtri	F	2.795933196
36	bhbtri	A	4.064633937
36	bhbtri	B	4.702277969
36	bhbtri	C	4.258669613
36	bhbtri	D	4.122668518
36	bhbtri	E	3.825555725
36	bhbtri	F	2.670495244
40	bhbtri	A	4.17060989
40	bhbtri	B	4.476444913
40	bhbtri	C	4.35803941
40	bhbtri	D	4.235387059
40	bhbtri	E	3.94462019
40	bhbtri	F	2.687627793
44	bhbtri	A	4.189595066
44	bhbtri	B	4.517368535
44	bhbtri	C	4.355624058
44	bhbtri	D	4.264761737
44	bhbtri	E	3.951340269
44	bhbtri	F	2.703652809
48	bhbtri	A	4.229317903
48	bhbtri	B	4.574335089
48	bhbtri	C	4.422477107
48	bhbtri	D	4.320452169
48	bhbtri	E	4.003268945
48	bhbtri	F	2.719371427
60	bhbtri	A	4.740329629
60	bhbtri	B	4.756337648
60	bhbtri	C	4.677048618
60	bhbtri	D	4.434379304
60	bhbtri	E	4.061151936
60	bhbtri	F	2.746555154
72	bhbtri	A	4.486002961
72	bhbtri	B	4.832798815
72	bhbtri	C	4.694960713
72	bhbtri	D	4.52563714
72	bhbtri	E	4.125037014
72	bhbtri	F	2.775401561
96	bhbtri	A	4.893921721
96	bhbtri	B	5.032929372
96	bhbtri	C	5.014446743
96	bhbtri	D	4.669392349
96	bhbtri	E	4.279271761
96	bhbtri	F	2.8327843
120	bhbtri	A	4.746593556
120	bhbtri	B	5.134767347
120	bhbtri	C	4.895962688
120	bhbtri	D	4.789209946
120	bhbtri	E	4.405418516
120	bhbtri	F	2.891109202
