time	experiment	replicate	acetate
0	bhri	A	2.095234149
0	bhri	B	2.118280698
0	bhri	C	2.095018902
0	bhri	D	2.083139632
0	bhri	E	2.126158995
0	bhri	F	2.046319635
4	bhri	A	2.216474212
4	bhri	B	2.196400709
4	bhri	C	2.224974096
4	bhri	D	2.21365734
4	bhri	E	2.174508843
4	bhri	F	2.231667815
8	bhri	A	3.226628058
8	bhri	B	3.11951995
8	bhri	C	3.36206465
8	bhri	D	3.521389887
8	bhri	E	3.367135403
8	bhri	F	3.699347424
12	bhri	A	7.228960243
12	bhri	B	6.834791862
12	bhri	C	7.961822466
12	bhri	D	8.449290589
12	bhri	E	7.972063941
12	bhri	F	8.884199581
16	bhri	A	9.440079576
16	bhri	B	9.130348959
16	bhri	C	9.429251192
16	bhri	D	9.074352085
16	bhri	E	9.408396102
16	bhri	F	9.065980392
20	bhri	A	10.20082639
20	bhri	B	9.850213103
20	bhri	C	10.08184428
20	bhri	D	9.820329098
20	bhri	E	10.03024323
20	bhri	F	9.744667213
24	bhri	A	10.16212968
24	bhri	B	9.967014045
24	bhri	C	10.00315171
24	bhri	D	9.803885146
24	bhri	E	9.955611668
24	bhri	F	9.734354466
28	bhri	A	10.08267752
28	bhri	B	9.850718217
28	bhri	C	9.981479633
28	bhri	D	9.709598135
28	bhri	E	9.944990878
28	bhri	F	9.726552941
32	bhri	A	9.935238732
32	bhri	B	9.683575191
32	bhri	C	9.75977089
32	bhri	D	9.52209174
32	bhri	E	9.679029164
32	bhri	F	9.527738878
36	bhri	A	9.800749229
36	bhri	B	9.649464682
36	bhri	C	9.63939971
36	bhri	D	9.445615741
36	bhri	E	9.602213553
36	bhri	F	9.493349982
48	bhri	A	9.442718032
48	bhri	B	9.283990705
48	bhri	C	9.338405271
48	bhri	D	9.142738604
48	bhri	E	9.309118219
48	bhri	F	9.168641009
60	bhri	A	9.268782752
60	bhri	B	9.094438024
60	bhri	C	9.164409722
60	bhri	D	8.955710537
60	bhri	E	9.066474983
60	bhri	F	8.989460387
72	bhri	A	9.11620959
72	bhri	B	8.989424991
72	bhri	C	8.932385363
72	bhri	D	8.813828958
72	bhri	E	9.003877186
72	bhri	F	8.893245715
96	bhri	A	9.115165879
96	bhri	B	9.037206108
96	bhri	C	8.952565054
96	bhri	D	8.873525219
96	bhri	E	8.86569595
96	bhri	F	8.799448512
120	bhri	A	9.450804641
120	bhri	B	9.570373187
120	bhri	C	9.046731527
120	bhri	D	9.185904815
120	bhri	E	8.987289736
120	bhri	F	9.02756015
