time	experiment	replicate	lactate
0	bhri	A	0.652197101
0	bhri	B	0.638592413
0	bhri	C	0.638193104
0	bhri	D	0.649989172
0	bhri	E	0.644820524
0	bhri	F	0.641717767
4	bhri	A	0.636243368
4	bhri	B	0.648495583
4	bhri	C	0.62434279
4	bhri	D	0.623640556
4	bhri	E	0.636090378
4	bhri	F	0.647308263
8	bhri	A	0.716233676
8	bhri	B	0.701474008
8	bhri	C	0.722452563
8	bhri	D	0.731863039
8	bhri	E	0.736465495
8	bhri	F	0.794181843
12	bhri	A	1.296464979
12	bhri	B	1.282718196
12	bhri	C	1.279796157
12	bhri	D	1.284639513
12	bhri	E	1.304826656
12	bhri	F	1.298429761
16	bhri	A	1.472089945
16	bhri	B	1.537869079
16	bhri	C	1.401677168
16	bhri	D	1.35974692
16	bhri	E	1.365457261
16	bhri	F	1.326730822
20	bhri	A	1.451718683
20	bhri	B	1.514736839
20	bhri	C	1.368209131
20	bhri	D	1.35785604
20	bhri	E	1.352203691
20	bhri	F	1.359915821
20	bhri	A	1.460793317
24	bhri	B	1.495411031
24	bhri	C	1.391644931
24	bhri	D	1.352370401
24	bhri	E	1.345890957
24	bhri	F	1.327556879
28	bhri	A	1.437195187
28	bhri	B	1.471232183
28	bhri	C	1.389438732
28	bhri	D	1.37056567
28	bhri	E	1.36153842
28	bhri	F	1.343315943
32	bhri	A	1.431888133
32	bhri	B	1.477507217
32	bhri	C	1.383746837
32	bhri	D	1.395698893
32	bhri	E	1.363507813
32	bhri	F	1.342743525
36	bhri	A	1.44907484
36	bhri	B	1.501128981
36	bhri	C	1.416083759
36	bhri	D	1.40400304
36	bhri	E	1.410131309
36	bhri	F	1.367321279
48	bhri	A	1.484509619
48	bhri	B	1.548558934
48	bhri	C	1.445787215
48	bhri	D	1.418803694
48	bhri	E	1.421272756
48	bhri	F	1.382365772
60	bhri	A	1.489016441
60	bhri	B	1.541387286
60	bhri	C	1.439661367
60	bhri	D	1.417757548
60	bhri	E	1.396581788
60	bhri	F	1.366096778
72	bhri	A	1.487135937
72	bhri	B	1.544382073
72	bhri	C	1.432059685
72	bhri	D	1.42265532
72	bhri	E	1.417391846
72	bhri	F	1.373390403
96	bhri	A	1.488333806
96	bhri	B	1.538934364
96	bhri	C	1.446486221
96	bhri	D	1.425540005
96	bhri	E	1.418104803
96	bhri	F	1.378606724
120	bhri	A	1.807490886
120	bhri	B	1.55582293
120	bhri	C	1.436015995
120	bhri	D	1.415229687
120	bhri	E	1.414108832
120	bhri	F	1.373535554
