time	experiment	replicate	od
0	bhri	A	0.006097561
0	bhri	B	0.01
0	bhri	C	0.004098361
0	bhri	D	0.004945598
0	bhri	E	0.004115226
0	bhri	F	0.000992063
4	bhri	A	0.018292683
4	bhri	B	0.016
4	bhri	C	0.032786885
4	bhri	D	0.020771513
4	bhri	E	0.018518519
4	bhri	F	0.023809524
8	bhri	A	0.227642276
8	bhri	B	0.214
8	bhri	C	0.265368852
8	bhri	D	0.297725025
8	bhri	E	0.277777778
8	bhri	F	0.348214286
12	bhri	A	0.950203252
12	bhri	B	0.888
12	bhri	C	1
12	bhri	D	1
12	bhri	E	1
12	bhri	F	1
16	bhri	A	1
16	bhri	B	1
16	bhri	C	0.985655738
16	bhri	D	0.904055391
16	bhri	E	0.961934156
16	bhri	F	0.911706349
20	bhri	A	0.905487805
20	bhri	B	0.908
20	bhri	C	0.890368852
20	bhri	D	0.810089021
20	bhri	E	0.87345679
20	bhri	F	0.810515873
20	bhri	A	0.820121951
24	bhri	B	0.801
24	bhri	C	0.792008197
24	bhri	D	0.726013848
24	bhri	E	0.79526749
24	bhri	F	0.744047619
28	bhri	A	0.766260163
28	bhri	B	0.758
28	bhri	C	0.74692623
28	bhri	D	0.670623145
28	bhri	E	0.731481481
28	bhri	F	0.696428571
32	bhri	A	0.718495935
32	bhri	B	0.699
32	bhri	C	0.705942623
32	bhri	D	0.628090999
32	bhri	E	0.669753086
32	bhri	F	0.635912698
36	bhri	A	0.650406504
36	bhri	B	0.653
36	bhri	C	0.619877049
36	bhri	D	0.551928783
36	bhri	E	0.605967078
36	bhri	F	0.587301587
48	bhri	A	0.597560976
48	bhri	B	0.608
48	bhri	C	0.584016393
48	bhri	D	0.526211672
48	bhri	E	0.557613169
48	bhri	F	0.552579365
60	bhri	A	0.596544715
60	bhri	B	0.593
60	bhri	C	0.579918033
60	bhri	D	0.527200791
60	bhri	E	0.559670782
60	bhri	F	0.553571429
72	bhri	A	0.598577236
72	bhri	B	0.606
72	bhri	C	0.584016393
72	bhri	D	0.533135509
72	bhri	E	0.585390947
72	bhri	F	0.548611111
96	bhri	A	0.619918699
96	bhri	B	0.602
96	bhri	C	0.593237705
96	bhri	D	0.548961424
96	bhri	E	0.580246914
96	bhri	F	0.5625
120	bhri	A	0.645325203
120	bhri	B	0.639
120	bhri	C	0.62807377
120	bhri	D	0.569732938
120	bhri	E	0.605967078
120	bhri	F	0.596230159
