time	experiment	replicate	dead
0	btri	A	0.00159
0	btri	B	0.00132
0	btri	C	0.00135
0	btri	D	0.00104
0	btri	E	0.00133
0	btri	F	0.0014
4	btri	A	0.00773
4	btri	B	0.00968
4	btri	C	0.00148
4	btri	D	0.0063
4	btri	E	0.01467
4	btri	F	0.0215
8	btri	A	0.1105
8	btri	B	0.12475
8	btri	C	0.0319
8	btri	D	0.12505
8	btri	E	0.1374
8	btri	F	0.15125
12	btri	A	0.13825
12	btri	B	0.1456
12	btri	C	0.23485
12	btri	D	0.18845
12	btri	E	0.2047
12	btri	F	0.17525
16	btri	A	0.21915
16	btri	B	0.23385
16	btri	C	0.19835
16	btri	D	0.169
16	btri	E	0.20725
16	btri	F	0.19425
24	btri	A	1.81005
24	btri	B	2.08345
24	btri	C	0.8649
24	btri	D	2.1413
24	btri	E	2.2982
24	btri	F	2.0468
28	btri	A	4.17845
28	btri	B	2.7203
28	btri	C	2.0746
28	btri	D	3.07855
28	btri	E	3.36225
28	btri	F	3.4636
32	btri	A	3.85085
32	btri	B	3.6662
32	btri	C	3.04945
32	btri	D	4.01155
32	btri	E	3.37335
32	btri	F	3.03885
38	btri	A	3.67835
38	btri	B	3.3724
38	btri	C	4.7438
38	btri	D	3.80085
38	btri	E	3.4287
38	btri	F	4.0153
48	btri	A	4.3925
48	btri	B	3.93755
48	btri	C	7.73595
48	btri	D	4.5416
48	btri	E	3.60985
48	btri	F	4.16395
62	btri	A	4.9756
62	btri	B	4.16825
62	btri	C	7.4223
62	btri	D	3.61035
62	btri	E	5.5117
62	btri	F	4.3544
72	btri	A	6.5771
72	btri	B	7.2604
72	btri	C	10.83305
72	btri	D	6.6248
72	btri	E	6.9985
72	btri	F	6.2433
96	btri	A	7.99345
96	btri	B	8.50955
96	btri	C	10.2354
96	btri	D	6.646
96	btri	E	8.9121
96	btri	F	7.64255
120	btri	A	7.8237
120	btri	B	9.45525
120	btri	C	12.2283
120	btri	D	9.68205
120	btri	E	9.70055
120	btri	F	9.19905
