time	experiment	replicate	ri_live
0	btri	A	0.00362
0	btri	B	0.00363
0	btri	C	0.00413
0	btri	D	0.00435
0	btri	E	0.00363
0	btri	F	0.00373
4	btri	A	0.07248
4	btri	B	0.06932
4	btri	C	0.02038
4	btri	D	0.05336
4	btri	E	0.06016
4	btri	F	0.06651
8	btri	A	1.62055
8	btri	B	1.76845
8	btri	C	0.22395
8	btri	D	1.27955
8	btri	E	1.2803
8	btri	F	1.4213
12	btri	A	5.7826
12	btri	B	5.13005
12	btri	C	1.52025
12	btri	D	3.67435
12	btri	E	3.39125
12	btri	F	4.10685
16	btri	A	6.16215
16	btri	B	5.4748
16	btri	C	1.5693
16	btri	D	3.65275
16	btri	E	4.41395
16	btri	F	4.48425
24	btri	A	2.73775
24	btri	B	3.16465
24	btri	C	1.3938
24	btri	D	2.5648
24	btri	E	2.1292
24	btri	F	2.18405
28	btri	A	2.0089
28	btri	B	1.1281
28	btri	C	0.4716
28	btri	D	0.8805
28	btri	E	0.81145
28	btri	F	1.0536
32	btri	A	0.89725
32	btri	B	0.3129
32	btri	C	0.15965
32	btri	D	0.1781
32	btri	E	0.16185
32	btri	F	0.17505
38	btri	A	5.6404
38	btri	B	5.38315
38	btri	C	0.14305
38	btri	D	2.7862
38	btri	E	1.19655
38	btri	F	4.53775
48	btri	A	5.36015
48	btri	B	5.2403
48	btri	C	0.41255
48	btri	D	3.95155
48	btri	E	2.13555
48	btri	F	3.5386
62	btri	A	4.57475
62	btri	B	3.72355
62	btri	C	0.5317
62	btri	D	1.72205
62	btri	E	2.26075
62	btri	F	2.92945
72	btri	A	2.9538
72	btri	B	2.97835
72	btri	C	0.1197
72	btri	D	2.0832
72	btri	E	1.46025
72	btri	F	2.2477
96	btri	A	0.862
96	btri	B	0.86045
96	btri	C	0.04155
96	btri	D	0.53825
96	btri	E	0.71035
96	btri	F	1.54965
120	btri	A	0.4941
120	btri	B	0.64465
120	btri	C	0.08905
120	btri	D	0.3948
120	btri	E	0.3828
120	btri	F	0.6414
