time	experiment	replicate	pyruvate
0	btri	A	9.716762185
0	btri	B	9.530479632
0	btri	C	9.694159647
0	btri	D	9.512167416
0	btri	E	9.678953715
0	btri	F	9.551170424
4	btri	A	9.549332176
4	btri	B	9.535071214
4	btri	C	9.485488586
4	btri	D	9.510974493
4	btri	E	9.572714112
4	btri	F	9.446655996
8	btri	A	9.609124512
8	btri	B	9.634490884
8	btri	C	9.788978042
8	btri	D	9.632573484
8	btri	E	9.687661972
8	btri	F	9.55767456
12	btri	A	4.14301984
12	btri	B	4.3071998
12	btri	C	8.315318386
12	btri	D	5.302054342
12	btri	E	5.318216146
12	btri	F	4.285068939
16	btri	A	0.160226624
16	btri	B	0.166661275
16	btri	C	1.431822749
16	btri	D	0.178716967
16	btri	E	0.160202835
16	btri	F	0.143657907
24	btri	A	0.125191705
24	btri	B	0.123972407
24	btri	C	0.231036902
24	btri	D	0.121840079
24	btri	E	0.109962944
24	btri	F	0.101541693
28	btri	A	0.114306169
28	btri	B	0.11088752
28	btri	C	0.199487946
28	btri	D	0.094218577
28	btri	E	0.082764274
28	btri	F	0.077857715
32	btri	A	0.640253749
32	btri	B	0.080089643
32	btri	C	0.601202129
32	btri	D	0.087896185
32	btri	E	0.066560793
32	btri	F	0.073634687
38	btri	A	0.13251648
38	btri	B	0.132207522
38	btri	C	0.202224269
38	btri	D	0.132420153
38	btri	E	0.119996922
38	btri	F	0.124802776
48	btri	A	0.13420242
48	btri	B	0.133547655
48	btri	C	0.193194952
48	btri	D	0.134502279
48	btri	E	0.121129144
48	btri	F	0.125341767
62	btri	A	0.122953144
62	btri	B	0.122719426
62	btri	C	0.181949147
62	btri	D	0.119815538
62	btri	E	0.109743272
62	btri	F	0.114866715
72	btri	A	0.121551894
72	btri	B	0.120261584
72	btri	C	0.181312983
72	btri	D	0.118674419
72	btri	E	0.105945335
72	btri	F	0.111329894
96	btri	A	0.106606927
96	btri	B	0.104906127
96	btri	C	0.196570416
96	btri	D	0.104325409
96	btri	E	0.090258798
96	btri	F	0.095468598
120	btri	A	0.081195667
120	btri	B	0.081171007
120	btri	C	0.136926817
120	btri	D	0.084621944
120	btri	E	0.089017712
120	btri	F	0.070103507
