id	feedingTerm	metabolite	yield	monodK
1	xa_trehalose	trehalose	1	0.5
2	xa_trehalose	lactate	-1	0
3	xa_trehalose	acetate	-1	0
4	xa_pyruvate	pyruvate	1	0.5
5	xa_pyruvate	acetate	-1	0
6	xb_glucose_glutamate	glucose	1	0.5
7	xb_glucose_glutamate	glutamate	1	0.5
8	xb_glucose_glutamate	acetate	-1	0
9	xe_pyruvate	pyruvate	1	0.5
10	xe_pyruvate	acetate	-1	0
11	xe_pyruvate	lactate	-1	0
12	xe_pyruvate	formate	-1	0
13	xe_glucose	glucose	1	0.5
14	xe_glucose	acetate	-1	0
15	xe_glucose	succinate	-1	0
16	xf_mannose	mannose	1	0.5
17	xf_mannose	acetate	-1	0
18	xf_mannose	succinate	-1	0
19	xi_pyruvate	pyruvate	1	0.5
20	xi_pyruvate	acetate	-1	0
21	xi_pyruvate	butyrate	-1	0
22	xi_glucose	glucose	1	0.5
23	xi_glucose	acetate	-1	0
24	xi_glucose	lactate	-1	0
25	xi_glucose	butyrate	-1	0
26	xj_lactate	lactate	1	0.5
27	xj_lactate	butyrate	-1	0
28	xj_acetate	acetate	1	0.5
29	xj_acetate	butyrate	-1	0.5
